title,calories,protein,fat
Wheat (whole),390,13,2
Macaroni,155,5,1
Baked with cheese,475,18,25
Muffins,135,4,5
Noodles,200,7,2
Oatmeal,150,5,3
"Pancakes 4"" diam.",250,7,9
"Wheat, pancakes 4"" diam.",250,7,9
"Pizza 14"" diam.",180,8,6
Popcorn salted,152,3,7
Puffed rice,55,t,t
Puffed wheat presweetened,105,1,t
Rice,748,15,3
Converted,677,14,t
White,692,14,t
Rice flakes,115,2,t
Rice polish,132,6,6
Rolls,411,3,12
of refined flour,115,3,2
whole-wheat,102,4,1
Spaghetti with meat sauce,285,13,10
with tomatoes and cheese,210,6,5
Spanish rice,217,4,4
Shredded wheat biscuit,100,3,1
Waffles,240,8,9
Wheat germ,245,17,7
Wheat-germ cereal toasted,260,20,7
Wheat meal cereal unrefined,103,4,1
"Wheat, cooked",275,12,1
Bean soups,190,8,5
Beef soup,100,6,4
Bouillon,24,5,0
chicken soup,75,4,2
Clam chowder,85,5,2
Cream soups,200,7,12
Noodle,115,6,4
Split-pea soup,147,8,3
Tomato soup,175,6,7
Vegetable,80,4,2
Apple betty,150,1,4
Bread pudding,374,11,12
Cakes,110,3,t
Chocolate fudge,420,5,14
Cupcake,160,3,3
Fruit cake,105,2,4
Gingerbread,180,2,7
"Plain, with no icing",180,4,5
Sponge cake,115,3,2
Candy,104,t,3
Chocolate creams,130,t,4
Fudge,370,t,12
Hard candies,90,t,0
Marshmallows,98,1,0
Milk chocolate,290,2,6
Chocolate syrup,80,t,t
Doughnuts,135,2,7
"Gelatin, made with water",155,4,t
Honey,120,t,0
Ice cream,250,0,0
Ices,117,0,0
preserves,55,0,0
Jellies,50,0,0
Molasses,45,0,0
Cane Syrup,50,0,0
"9"" diam. pie",330,3,13
Cherry Pie,340,3,13
Custard,265,7,11
Lemon meringue,300,4,12
Mince,340,3,9
Pumpkin Pie,265,5,12
Puddings Sugar,770,0,0
3 teaspoons sugar,50,0,0
"Brown, firm-packed, dark sugar",815,0,t
Syrup,100,0,0
table blends sugar,110,0,0
Tapioca cream pudding,335,10,10
Almonds,425,13,38
roasted and salted,439,13,40
Brazil nuts,457,10,47
Cashews,392,12,32
coconut sweetened,274,1,20
Peanut butter,300,12,25
"Peanut butter, natural",284,13,24
Peanuts,290,13,25
Pecans,343,5,35
Sesame seeds,280,9,24
Sunflower seeds,280,12,26
Walnuts,325,7,32
Beer,228,t,0
Gin,70,0,0
Wines,164,t,0
Table (12.2% alcohol),100,t,0
Carbonated drinks Artificially sweetened,0,0,0
Club soda,0,0,0
Cola drinks,137,0,0
Fruit-flavored soda,161,0,0
Ginger ale,105,0,0
Root beer,140,0,0
Coffee,3,t,0
Tea,4,0,t
